Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Manager_JobInvolvement,Manager_PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Average_Daily_Work_Hours,Average_Monthly_Hours,Annual_Total_Work_Hours,free_days,Overtime_Workers
51.0,No,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Healthcare Representative,Married,131160,1.0,11,8,0,1.0,6,1,0,0,3,3,3.0,4.0,2.0,6.554406130268198,142.55833333333334,1717.254406130268,29,false
31.0,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,8,1,6.0,3,5,1,4,2,4,3.0,2.0,4.0,6.979425287356324,151.8025,1828.609425287357,25,false
32.0,No,Travel_Frequently,Research & Development,17,4,Other,Male,4,Sales Executive,Married,193280,1.0,15,8,3,5.0,2,5,0,3,3,3,2.0,2.0,1.0,6.502758620689655,141.435,1703.7227586206898,19,false
38.0,No,Non-Travel,Research & Development,2,5,Life Sciences,Male,3,Human Resources,Married,83210,3.0,11,8,3,13.0,5,8,7,5,2,3,4.0,4.0,3.0,6.4768965517241375,140.8725,1696.946896551724,26,false
32.0,No,Travel_Rarely,Research & Development,10,1,Medical,Male,1,Sales Executive,Single,23420,4.0,12,8,2,9.0,2,6,0,4,3,3,4.0,1.0,3.0,7.515478927203066,163.46166666666667,1969.0554789272032,16,false
46.0,No,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,4,Research Director,Married,40710,3.0,13,8,0,28.0,5,7,7,7,3,3,3.0,2.0,2.0,9.803026819923371,213.21583333333334,2568.393026819923,24,true
28.0,Yes,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,8,1,5.0,2,0,0,0,3,4,1.0,3.0,1.0,6.15425287356322,133.855,1612.4142528735633,29,false
29.0,No,Travel_Rarely,Research & Development,18,3,Life Sciences,Male,2,Sales Executive,Married,31430,2.0,22,8,3,10.0,2,0,0,0,3,4,1.0,2.0,3.0,6.262145593869732,136.20166666666668,1640.6821455938698,18,false
31.0,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Laboratory Technician,Married,20440,0.0,21,8,0,10.0,2,9,7,8,3,4,2.0,4.0,3.0,6.376934865900378,138.69833333333335,1670.7569348658992,31,false
25.0,No,Non-Travel,Research & Development,7,4,Medical,Female,4,Laboratory Technician,Divorced,134640,1.0,13,8,1,6.0,2,6,1,5,3,3,2.0,1.0,3.0,6.34754789272031,138.05916666666667,1663.0575478927212,27,false
